name,sport,height,weight,age,female
Joey Mantia,"1,000, 1,500, Mass Start, Team Pursuit",68.0,170.0,32.0,False
Mitch Whitmore,"500, 1,000",70.0,170.0,28.0,False
Maame Biney,"500, 1,500",66.0,150.0,18.0,True
Lana Gehring,"500, 1,000, 1,500",69.0,135.0,27.0,True
Jessica Kooreman,"1,000, 1,500",60.0,118.0,34.0,True
J.R. Celski,"1,000, 1,500, 5,000 Relay",68.0,143.0,27.0,False
Thomas Hong,"500, 5,000 Relay",68.0,140.0,20.0,False
John-Henry Krueger,"500, 1,000, 1,500, 5,000 Relay",70.0,165.0,22.0,False
Ryan Pivirotto,"5,000 Relay",65.0,137.0,22.0,False
Aaron Tran,"500, 1,500, 5,000 Relay",67.0,160.0,21.0,False
